symbol,securityName,sector
EBLD86,Everest Bank Limited,Non-Convertible Debenture
PROFLP,Progressive Finance Limited Promoter Share,Finance
SLCF,Sanima Large Cap Fund,Mutual Fund
SIGS2,Siddhartha Investment Growth Scheme - 2,Mutual Fund
SBLD2082,10.50% SBL Debenture 2082,Non-Convertible Debenture
NBLD87,8.5% Nepal Bank Debenture 2087,Non-Convertible Debenture
SBD87,8.5% Sanima Debenture 2087,Non-Convertible Debenture
LVF2,Laxmi Value Fund 2,Mutual Fund
BNL,Bottlers Nepal (Balaju) Limited,Manufacturing And Processing
NMBD87/88,NMB Debenture 8.50% - 2087/88,Non-Convertible Debenture
C30MF,Citizens Super 30 Mutual Fund,Mutual Fund
KSY,Kumari Sabal Yojana,Mutual Fund
